mechanism,observable,classification,score,evidence_strength,evidence,interpretation_boundary
SEI-only aging,Capacity RPT,primary,3.0,strong,Capacity loss increases monotonically with SEI-only aging severity and provides the clearest measurable degradation response.,Mechanism uniqueness requires contrast against other degradation mechanisms.
SEI-only aging,C/25 central-window V(Q),secondary,2.0,moderate,Central-window voltage drift is aging-sensitive and less boundary-dominated than full-window voltage comparison.,Full-window voltage interpretation is endpoint-amplified and must not be used without central-window control.
SEI-only aging,GITT-like finite-rest voltage,secondary,2.0,moderate but weak magnitude,Finite-rest voltage reconstruction is technically valid and less endpoint-amplified than full-window C/25 V(Q).,Signal magnitude remains weak under current SEI-only severity.
SEI-only aging,ICA central features,rejected,0.0,weak / unstable,ICA peak features are sensitive to preprocessing and do not qualify as primary SEI-only fitting targets.,Can remain an auxiliary visualization layer only if smoothing sensitivity is explicitly audited.
SEI-only aging,DVA central features,auxiliary,1.0,weak,DVA descriptors are technically extractable but do not dominate the SEI-only response.,Not recommended as primary SEI-only fitting target in the current evidence state.
SEI-only aging,Ri(t),auxiliary,1.0,weak,Resistance-related descriptors are not the dominant SEI-only fingerprint in the completed audits.,Use as context rather than primary SEI-only evidence.
SEI-only aging,corrected relaxation descriptors,auxiliary,1.0,weak,Corrected relaxation descriptors provide secondary context but not dominant SEI-only separation.,Not a primary fitting layer for the current SEI-only branch.
Contact / ohmic resistance growth,Ri(t),primary,3.0,strong,All audited Ri(t) windows show near-exact additive increase equal to the imposed contact resistance.,Use multi-window Ri(t); do not infer slow relaxation growth from raw voltage recovery amplitude.
Contact / ohmic resistance growth,Capacity RPT,auxiliary,1.0,weak,Capacity impact is weak and mainly reflects usable-capacity boundary effects under tested resistance levels.,Not recommended as a primary target for pure ohmic resistance growth.
Contact / ohmic resistance growth,corrected relaxation descriptors,rejected,0.0,negative evidence,"After post-ohmic correction, relaxation amplitude and time descriptors remain invariant across contact resistance levels.",Raw recovery amplitude is ohmic-jump-confounded and must not be treated as slow relaxation evidence.
Contact / ohmic resistance growth,raw recovery amplitude,rejected,0.0,artifact-confounded,Raw recovery amplitude changes because the instantaneous ohmic jump changes.,Reject as primary relaxation descriptor unless post-ohmic correction is applied.
Contact / ohmic resistance growth,C/25 central-window V(Q),deferred,,not audited,Not closed as a primary observable for this mechanism branch.,No conclusion in the current synthesis.
Contact / ohmic resistance growth,ICA central features,deferred,,not audited,Not closed as a primary observable for this mechanism branch.,No conclusion in the current synthesis.
Contact / ohmic resistance growth,DVA central features,deferred,,not audited,Not closed as a primary observable for this mechanism branch.,No conclusion in the current synthesis.
NE-LAM,Capacity RPT,primary,3.0,strong,NE-LAM produces strong capacity loss that scales with active-material loss severity.,High NE-LAM levels are boundary-sensitive and must be interpreted with endpoint controls.
NE-LAM,C/25 central-window V(Q),secondary,2.0,moderate,Central-window voltage drift increases with NE-LAM severity.,Endpoint amplification appears at higher NE-LAM levels; central-window control is mandatory.
NE-LAM,DVA central features,secondary,2.0,moderate,DVA median central features become informative at stronger NE-LAM levels.,Candidate fitting target only with smoothing and endpoint controls.
NE-LAM,ICA central features,rejected,0.0,unstable,ICA peak features remain unreliable as primary targets.,Reject as primary fitting target because of preprocessing sensitivity.
NE-LAM,endpoint / boundary indicators,auxiliary,1.0,quality-control relevant,Endpoint amplification is visible at higher NE-LAM severity.,"Use as boundary warning, not as primary mechanism evidence."
PE-LAM,C/25 central-window V(Q),primary,3.0,strong,PE-LAM produces strong central voltage-shape drift without endpoint amplification in the tested range.,Mechanism specificity still benefits from contrast against other branches.
PE-LAM,DVA central features,primary,3.0,strong,DVA median central features show strong signal-to-smoothing response and consistent direction under PE-LAM.,Best derivative-layer candidate under the current LAM evidence.
PE-LAM,Capacity RPT,secondary,2.0,moderate,Capacity effect is present but weaker than the voltage-shape response.,Not the dominant PE-LAM fingerprint in the current branch.
PE-LAM,ICA central features,rejected,0.0,unstable,ICA peak features remain unreliable as primary targets.,Reject as primary fitting target because of peak-position and smoothing sensitivity.
PE-LAM,endpoint / boundary indicators,auxiliary,1.0,quality-control relevant,Endpoint amplification flag remains false in the tested PE-LAM range.,"Use as quality-control context, not as primary fitting target."
Lithium plating,direct plating-state variables,primary,3.0,strong for model-state observability,Direct plating-state variables show stress sensitivity and clean matched-control separation.,"These are model-state observables, not closed external diagnostic fitting targets."
Lithium plating,Capacity RPT,auxiliary,1.0,weak,Matched post-stress capacity differences are present but small under the tested stress cases.,Partially reversible plating means direct plating amount is not equivalent to irreversible capacity loss.
Lithium plating,Ri(t),auxiliary,1.0,weak,Process-isolated HPPC audit shows weak matched plating-minus-control Ri(t) shifts.,Direct plating observability does not imply a resistance-growth-like external fingerprint.
Lithium plating,corrected relaxation descriptors,auxiliary,1.0,weak,Corrected relaxation shifts remain weak in the tested HPPC workflow.,Not qualified as primary plating fingerprint under current evidence.
Lithium plating,C/25 central-window V(Q),deferred,,not closed,Full voltage-curve plating fingerprint remains open.,Requires future process-isolated diagnostic audit.
Lithium plating,GITT-like finite-rest voltage,deferred,,not closed,Finite-rest plating voltage fingerprint remains open.,Requires future process-isolated diagnostic audit.
Lithium plating,ICA central features,deferred,,not closed,Derivative-layer plating fingerprint remains open.,Requires future process-isolated diagnostic audit.
Lithium plating,DVA central features,deferred,,not closed,Derivative-layer plating fingerprint remains open.,Requires future process-isolated diagnostic audit.
